PIP CODE,CAV CODE,PRODUCT DESCRIPTION,PACK SIZE,CATEGORY
6836191,DUL20,Duloxetine GR Caps 20mg,28,GENERIC
6836209,DUL30,Duloxetine GR Caps 30mg,28,GENERIC
6836217,DUL40,Duloxetine GR Caps 40mg,56,GENERIC
6836225,DUL60,Duloxetine GR Caps 60mg,28,GENERIC
8156432,DUT530,Dutasteride Cap 0.5mg ,30,GENERIC
1110659,ENA10,Enalapril Maleate Tabs 10mg,28,GENERIC
1110634,ENA25,Enalapril Maleate Tabs 2.5mg,28,GENERIC
1110667,ENA20,Enalapril Maleate Tabs 20mg,28,GENERIC
1110642,ENA5,Enalapril Maleate Tabs 5mg,28,GENERIC
6348262,EPL25,Eplerenone Tabs 25mg ,28,GENERIC
6348254,EPL50,Eplerenone Tabs 50mg,28,GENERIC
6369060,EPRO30,Eprosartan Tabs 300mg                                              ,28,GENERIC
6369078,EPRO40,Eprosartan Tabs 400mg                                              ,56,GENERIC
6369045,EPRO60,Eprosartan Tabs 600mg                                             ,28,GENERIC
7028731,ERS125,Erythromycin Susp 125mg/5ml,100ml,GENERIC
7018161,ERSF12,Erythromycin Susp 125mg/5ml SF ,100ml,GENERIC
7028749,ERS250,Erythromycin Susp 250mg/5ml ,100ml,GENERIC
7018179,ERSF25,Erythromycin Susp 250mg/5ml SF ,100ml,GENERIC
6290878,ERY258M,Erythromycin Tabs 250mg,28,GENERIC
1108802,ERY258,Erythromycin Tabs 250mg,28,GENERIC
6831630,ESC128,Escitalopram Tabs 10mg                                       ,28,GENERIC
6831614,ESC228,Escitalopram Tabs 20mg                                       ,28,GENERIC
6831622,ESC528,Escitalopram Tabs 5mg                                         ,28,GENERIC
6802557,ESO20C,Esomeprazole Caps 20mg                                        ,28,GENERIC
6802573,ESO40C,Esomeprazole Caps 40mg                                        ,28,GENERIC
1199496,ESO20,Esomeprazole Tabs 20mg                                ,28,GENERIC
1199504,ESO40,Esomeprazole Tabs 40mg                               ,28,GENERIC
8416729,ETO600,Etodolac Tabs 600mg SR                       ,30,GENERIC
8155939,ETOR122,Etoricoxib  Tab 120mg,28,GENERIC
8155947,ETOR30,Etoricoxib  Tab 30mg,28,GENERIC
8155954,ETOR60,Etoricoxib  Tab 60mg,28,GENERIC
8155962,ETOR90,Etoricoxib  Tab 90mg,28,GENERIC
8426421,EXE25,Exemestane Tabs 25mg                                      ,30,GENERIC
8132383,EZET10,Ezetimibe Tab 10mg,28,GENERIC
8158305,FAMC25,Famciclovir Tabs 250mg,21,GENERIC
6305536,FAM20,Famotidine Tabs 20mg    ,28,GENERIC
7103245,FAM40,Famotidine Tabs 40mg,28,GENERIC
1117910,FEL128,Felodipine Folpik Tabs 10mg Alm,28,GENERIC
1117928,FEL528,Felodipine Folpik Tabs 5mg Alm,28,GENERIC
8414096,FEL12A,Felodipine MR  Tabs 10mg,28,GENERIC
8016693,FEL52A,Felodipine MR  Tabs 5mg,28,GENERIC
1159904,FEL228,Felodipine Tabs 2.5mg SR (Parmid),28,GENERIC
7028707,FEN200,Fenofibrate Caps 200mg,28,GENERIC
8455511,FEN267,Fenofibrate Caps 267mg                             ,28,GENERIC
6328355,FEN160,Fenofibrate Tabs 160mg                                         ,28,GENERIC
8395667,FER284,Ferrous Fumarate Tabs 210mg (No PL)                      ,84,GENERIC
8072118,FER322,Ferrous Fumarate Tabs 322mg (No PL)                      ,28,GENERIC
1187418,FERG28,Ferrous Gluconate Tabs 300mg,28,GENERIC
7119902,FERGLU,Ferrous Gluconate Tabs 300mg,1000,GENERIC
1110089,FERS22,Ferrous Sulphate Tabs 200mg,28,GENERIC
1164565,FERSU2,Ferrous Sulphate Tabs 200mg,100,GENERIC
7149826,FERSUL,Ferrous Sulphate Tabs 200mg    ,1000,GENERIC
8128464,FEX120,Fexofenadine Tabs 120mg,30,GENERIC
8128456,FEX180,Fexofenadine Tabs 180mg,30,GENERIC
1147859,FIN528,Finasteride Tabs 5mg,28,GENERIC
1148543,FLE101,Flecainide Tabs 100mg    ,60,GENERIC
8012759,FLE50S,Flecainide Tabs 50mg,60,GENERIC
1148535,FLE50,Flecainide Tabs 50mg,60,GENERIC
1108828,FLU258,Flucloxacillin Caps 250mg,28,GENERIC
7126576,FL250,Flucloxacillin Caps 250mg,100,GENERIC
1108836,FLU528,Flucloxacillin Caps 500mg ,28,GENERIC
7013329,FLS125,Flucloxacillin Oral Solution 125mg/5ml,100ml,GENERIC
1164573,FLS12F,Flucloxacillin Oral Solution 125mg/5ml SF                  ,100ml,GENERIC
7122047,FLS250,Flucloxacillin Oral Solution 250mg/5ml,100ml,GENERIC
1164581,FLS25F,Flucloxacillin Oral Solution 250mg/5ml SF                  ,100ml,GENERIC
6826119,FLUC15,Fluconazole Caps 150mg (POM),1,GENERIC
6826101,FLUC20,Fluconazole Caps 200mg  ,7,GENERIC
1154392,FLUC50,Fluconazole Caps 50mg,7,GENERIC
8099038,FLU0.1,Fludrocortisone Acet Tab 0.1mg,30,GENERIC
8117194,FLU10C,Fluoxetine Caps 10mg,30,GENERIC
8427643,FLU20S,Fluoxetine Caps 20mg,30,GENERIC
1110675,FLU20,Fluoxetine Caps 20mg,30,GENERIC
8117178,FLU30C,Fluoxetine Caps 30mg,30,GENERIC
8117210,FLU40C,Fluoxetine Caps 40mg,30,GENERIC
1152016,FLU60,Fluoxetine Caps 60mg,30,GENERIC
1139963,FLUS20,Fluoxetine Solution 20mg/5ml,70ml,GENERIC
4047684,ALO125,Flutic/Salm 25/125mcg,120dse,GENERIC
4047692,ALO250,Flutic/Salm 25/250mcg,120dse,GENERIC
8094963,AIRFLU,Flutic/Salmet DPI500 AIRFLUSAL 500mcg ,60dse,GENERIC
6336515,FLUT50,Fluticasone Aqueous Nasal Spray 50mcg               ,150dse,GENERIC
8412793,FLUPRO,Fluticasone Propio 0.05% cream              ,30gm,GENERIC
8143711,FLUV20,Fluvastatin Caps 20mg,28,GENERIC
8143729,FLUV40,Fluvastatin Caps 40mg,28,GENERIC
8455172,FLUV80,Fluvastatin Tabs 80mg MR ,28,GENERIC
8121402,FOL49L,Folic Acid Tab 0.4mg,90,GENERIC
7126154,FOL490,Folic Acid Tabs 400mcg (No PL) ,90,GENERIC
1115724,FOL528,Folic Acid Tabs 5mg,28,GENERIC
7126535,FOL5,Folic Acid Tabs 5mg,1000,GENERIC
8096489,FROV25,Frovatriptan Tab 2.5mg,6,GENERIC
1110683,FRU21,Furosemide Tabs 20mg,28,GENERIC
8410193,FRU20,Furosemide Tabs 20mg,250,GENERIC
1110691,FRU41,Furosemide Tabs 40mg     ,28,GENERIC
8427007,FRU425,Furosemide Tabs 40mg     ,250,GENERIC
6369623,FUS15G,Fusidic Acid Cream 2%                                                   ,15g,GENERIC
6369615,FUS30G,Fusidic Acid Cream 2%                                                   ,30g,GENERIC
8124026,FUEYDR,Fusidic Acid Eye Drops 1%,5ml,GENERIC
1152024,GAB100,Gabapentin Caps 100mg,100,GENERIC
1152032,GAB300,Gabapentin Caps 300mg,100,GENERIC
1152040,GAB400,Gabapentin Caps 400mg,100,GENERIC
8104804,GAB501,Gabapentin SF aniseed 50mg/ml,150ml,GENERIC
8139487,GAB600,Gabapentin Tabs 600mg,100,GENERIC
6294177,GAB800,Gabapentin Tabs 800mg,100,GENERIC
8439960,GAL16,Galantamine Caps 16mg XL                            ,28,GENERIC
8439945,GAL24,Galantamine Caps 24mg XL,28,GENERIC
8439952,GAL8,Galantamine Caps 8mg XL                             ,28,GENERIC
8096729,GENT30,Gentamicin Eye/Ear drops 0.03%,10ml,GENERIC
8128530,GLI328,Gliclazide Tabs 30mg MR (Nazdol),28,GENERIC
8128522,GLI356,Gliclazide Tabs 30mg MR (Nazdol),56,GENERIC
1217223,GLI428,Gliclazide Tabs 40mg                                                 ,28,GENERIC
8095556,GLI28A,Gliclazide Tabs 80mg,28,GENERIC
1110063,GLI28,Gliclazide Tabs 80mg,28,GENERIC
1110071,GLI80,Gliclazide Tabs 80mg,60,GENERIC
8136616,GLIM1,Glimepiride Tabs 1mg,30,GENERIC
6327860,GLIM2,Glimepiride Tabs 2mg,30,GENERIC
6327852,GLIM3,Glimepiride Tabs 3mg,30,GENERIC
8136632,GLIM4,Glimepiride Tabs 4mg,30,GENERIC
1165976,GLIP5,Glipizide Tabs 5mg                                                  ,56,GENERIC
8150195,GLUSAC,Glucosamine sachets 1500mg,30,GENERIC
7018732,GLYSUP,Glycerin Supps Adult 4g,12,GENERIC
1008952,GLYSU2,Glycerin Supps Child 2g,12,GENERIC
1008960,GLYSU1,Glycerin Supps Infant 1g,12,GENERIC
8156960,GTN180,Glyceryl Trin Pump Spray 0.4mg (180 dose),1,GENERIC
184903,GTNSPY,Glyceryl Trinitrate Pump Spray 0.4mg (200 dose),1,GENERIC
1115849,GLY501,Glyceryl Trinitrate Tabs 500mcg,100,GENERIC
6330765,GLYCO1,Glycopyrronium Tabs 1mg,30,GENERIC
6330757,GLYCO2,Glycopyrronium Tabs 2mg,30,GENERIC
7056005,HAL158,Haloperidol Tabs 1.5mg,28,GENERIC
7103195,HAL128,Haloperidol Tabs 10mg,28,GENERIC
7056013,HAL528,Haloperidol Tabs 5mg,28,GENERIC
1166008,HYD256,Hydralazine Tabs 25mg,56,GENERIC
1166149,HYD556,Hydralazine Tabs 50mg,56,GENERIC
8102758,HYDBUC,Hydrocortisone Buccal Tab 2.5mg,20,GENERIC
7019540,HYDCR0,Hydrocortisone Cream 0.5%,15g,GENERIC
7019565,HYDCR1,Hydrocortisone Cream 1%,15g,GENERIC
7019581,HYDCR2,Hydrocortisone Cream 1%,30g,GENERIC
7014434,HYDCR3,Hydrocortisone Cream 1%,50g,GENERIC
8120487,HYDCR5,Hydrocortisone Cream 1%   (P ),15g,GENERIC
8099335,HYDCR4,Hydrocortisone Cream 2.5%,15g,GENERIC
7019599,HYDON2,Hydrocortisone Oint 1%,30g,GENERIC
7019573,HYDON1,Hydrocortisone Oint 1%                ,15g,GENERIC
7014442,HYDON3,Hydrocortisone Oint 1%                 ,50g,GENERIC
8100042,HYDON4,Hydrocortisone Oint 2.5%              ,15g,GENERIC
1152198,HYD10,Hydrocortisone Tabs 10mg                                      ,30,GENERIC
8086266,HYD10A,Hydrocortisone Tabs 10mg  Alissa                                    ,30,GENERIC
1151984,HYD20,Hydrocortisone Tabs 20mg                                       ,30,GENERIC
6834782,HYD100,Hydroxocobalamin Injection 1000mcg,5,GENERIC
8156267,HYD50,Hydroxycarbamide Caps 500mg                           ,100,GENERIC
6293716,HYD200,Hydroxychloroquine Tabs 200mg,60,GENERIC
6331730,HYDRO1,Hydroxyzine Tab 10mg,84,GENERIC
6331078,HYDRO2,Hydroxyzine Tab 25mg,28,GENERIC
8154817,HYPR10,Hypromellose Eye Drops 0.5% ,10ml,GENERIC
8461709,HYPROM,Hypromellose Eye Drops BPC 0.3% CE,10ml,GENERIC
6335780,IBA151,Ibandronic Acid Tabs 150mg                                    ,1,GENERIC
6335723,IBA153,Ibandronic Acid Tabs 150mg                                    ,3,GENERIC
8426405,IBAN50,Ibandronic Acid Tabs 50mg              ,28,GENERIC
8435794,IBUG11,Ibuprofen Gel 10% 100g (Phorpain)                ,1,GENERIC
8435810,IBUG10,Ibuprofen Gel 10% 30g (Phorpain)                ,1,GENERIC
8435828,IBUG15,Ibuprofen Gel 10% 50g (Phorpain)                  ,1,GENERIC
7107998,IBUGEL,Ibuprofen Gel 5% 100g (Phorpain),1,GENERIC
8435802,IBUG30,Ibuprofen Gel 5% 30g (Phorpain)       ,1,GENERIC
8435786,IBUG50,Ibuprofen Gel 5% 50g (Phorpain),1,GENERIC
7155096,IBUSUS,Ibuprofen Suspension 100mg/5ml,100ml,GENERIC
6835151,IBU224,Ibuprofen Tabs 200mg,24,GENERIC
1108851,IBU284,Ibuprofen Tabs 200mg,84,GENERIC
6835177,IBU124,Ibuprofen Tabs 400mg,24,GENERIC
1108869,IBU484,Ibuprofen Tabs 400mg,84,GENERIC
1108885,IBU684,Ibuprofen Tabs 600mg,84,GENERIC
1136431,IMI10,Imipramine Tabs 10mg,28,GENERIC
1115732,IMI25,Imipramine Tabs 25mg,28,GENERIC
8118499,INDA15,Indapamide Tabs 1.5mg XL (Tensaid)                 ,30,GENERIC
8431876,IND28,Indapamide Tabs 2.5mg,28,GENERIC
1079581,IND56,Indapamide Tabs 2.5mg,56,GENERIC
1117795,IND25,Indometacin Caps 25mg,28,GENERIC
1117803,IND50,Indometacin Caps 50mg,28,GENERIC
1166156,IND20,Indoramin Tabs 20mg,60,GENERIC
6832406,IPR20,Ipratropium Inhaler CFCF 20mcg,200dse,GENERIC
7056658,IPRBR2,Ipratropium Solution 250mcg/1ml,20,GENERIC
7056633,IPRBR5,Ipratropium Solution 500mcg/2ml,20,GENERIC
8116931,IPR500,Ipratropium Steri-Nebs 500mcg/2ml,20,GENERIC
8382673,IR15HC,Irbesartan Tabs 150/12.5mg HCTZ                                ,28,GENERIC
6359624,IRB158,Irbesartan Tabs 150mg,28,GENERIC
8382681,IR31HC,Irbesartan Tabs 300/12.5mg HCTZ                                ,28,GENERIC
8382665,IR32HC,Irbesartan Tabs 300/25mg HCTZ                                  ,28,GENERIC
6359608,IRB328,Irbesartan Tabs 300mg,28,GENERIC
6359616,IRB752,Irbesartan Tabs 75mg,28,GENERIC
8099061,ISOMYR,Isop Myr/liq Paraf Gel 15/15%,500gm,GENERIC
2941417,ISOS60,Isos Mono ( Carmil XL ) Tab 60mg,28,GENERIC
7148968,ISDN16,Isosorbide Dinitrate Tabs 10mg,56,GENERIC
7149594,ISDN26,Isosorbide Dinitrate Tabs 20mg,56,GENERIC
1076322,ISOS25,Isosorbide Mononitrate Caps 25mg LA ,28,GENERIC
1110709,ISO156,Isosorbide Mononitrate Tabs 10mg,56,GENERIC
1110717,ISO256,Isosorbide Mononitrate Tabs 20mg,56,GENERIC
1110725,ISO456,Isosorbide Mononitrate Tabs 40mg   ,56,GENERIC
8435778,ISOS4R,Isosorbide Mononitrate Tabs 40mg XL (Zemon),28,GENERIC
8114845,ISO130,Isotretinoin Cap 10mg,30,GENERIC
8157802,ISO230,Isotretinoin Cap 20mg,30,GENERIC
6336531,ITR100,Itraconazole Caps 100mg,15,GENERIC
6832273,IVAB25,Ivabradine Tab 2.5mg ,56,GENERIC
6832299,IVAB5,Ivabradine Tab 5mg ,56,GENERIC
6832307,IVAB75,Ivabradine Tab 7.5mg ,56,GENERIC
7164478,KETSHA,Ketoconazole Shampoo 2%,120ml,GENERIC
7013089,KET2CR,Ketoprofen Caps 200mg CR,28,GENERIC
5018312,KETG50,Ketoprofen Gel 2.5%  ,50gm,GENERIC
7119514,KETGEL,Ketoprofen Gel 2.5%  ,100gm,GENERIC
8413700,KETEYE,Ketoralac Eye Drops 0.5%,5ml,GENERIC
8128175,LAB156,Labetalol Tabs 100mg,56,GENERIC
8128183,LAB256,Labetalol Tabs 200mg,56,GENERIC
7118292,LAB456,Labetalol Tabs 400mg,56,GENERIC
6833073,LACID2,Lacidipine Tabs 2mg              ,28,GENERIC
6833081,LACID4,Lacidipine Tabs 4mg              ,28,GENERIC
8015638,LAC300S,Lactulose Solution                                            ,300ml,GENERIC
1159698,LAC300,Lactulose Solution                                            ,300ml,GENERIC
1159680,LAC500,Lactulose Solution                                             ,500ml,GENERIC
6336457,LAMD5,Lamotrigine Disp Tabs 5mg SF,28,GENERIC
6336481,LAMO10,Lamotrigine Tabs 100mg,56,GENERIC
6336473,LAMO20,Lamotrigine Tabs 200mg,56,GENERIC
6336507,LAMO25,Lamotrigine Tabs 25mg,56,GENERIC
6336499,LAMO50,Lamotrigine Tabs 50mg,56,GENERIC
1149632,LANS15,Lansoprazole Caps 15mg,28,GENERIC
8431447,LANS1A,Lansoprazole Caps 15mg,28,GENERIC
8431454,LANS3A,Lansoprazole Caps 30mg,28,GENERIC
1149640,LANS30,Lansoprazole Caps 30mg,28,GENERIC
8381246,LAN1OD,Lansoprazole Orodispersible Tabs 15mg,28,GENERIC
8381253,LAN3OD,Lansoprazole Orodispersible Tabs 30mg,28,GENERIC
8121840,LEF10,Leflunomide Tabs 10mg                                         ,30,GENERIC
8120891,LEF20,Leflunomide Tabs 20mg                                         ,30,GENERIC
8449787,LERC10,Lercanidipine Tabs 10mg                            ,28,GENERIC
8449779,LERC20,Lercanidipine Tabs 20mg                            ,28,GENERIC
8426439,LET251,Letrozole Tabs 2.5mg                                           ,14,GENERIC
8426470,LET252,Letrozole Tabs 2.5mg                                           ,28,GENERIC
8437592,LEVSOL,Levetiracetam Solution                                         ,300ml,GENERIC
8437469,LEVE10,Levetiracetam Tabs 1000mg                                ,60,GENERIC
8437451,LEVE25,Levetiracetam Tabs 250mg                                  ,60,GENERIC
8437444,LEVE50,Levetiracetam Tabs 500mg                                  ,60,GENERIC
8437436,LEVE75,Levetiracetam Tabs 750mg                                 ,60,GENERIC
8432775,LEVOC5,Levocetirizine Tabs 5mg                 ,30,GENERIC
8154437,LEVED,Levofloxacin Eye Drops 5mg/ml,1,GENERIC
8426322,LEV501,Levofloxacin Tabs 500mg                 ,10,GENERIC
6832711,LEVON1,Levonorgestrel Tabs 1.5mg             ,1,GENERIC
8113433,LEVONP,Levonorgestrel Tabs 1.5mg  (P)           ,1,GENERIC
6329643,LEVO10,Levothyroxine Solution SF 100mcg/5ml,100ml,GENERIC
6329627,LEVO25,Levothyroxine Solution SF 25mcg/5ml,100ml,GENERIC
6329650,LEVO50,Levothyroxine Solution SF 50mcg/5ml,100ml,GENERIC
6292510,THY128,Levothyroxine Tabs 100mcg     ,28,GENERIC
1117142,ALM234,Levothyroxine Tabs 100mcg     ,28,GENERIC
6292684,THY100,Levothyroxine Tabs 100mcg     ,1000,GENERIC
8119026,LEV125,Levothyroxine Tabs 12.5mcg     ,28,GENERIC
7111933,THY25C,Levothyroxine Tabs 25mcg ,28,GENERIC
7027899,THY25,Levothyroxine Tabs 25mcg ,500,GENERIC
6292486,THY528,Levothyroxine Tabs 50mcg     ,28,GENERIC
1117159,ALM233,Levothyroxine Tabs 50mcg     ,28,GENERIC
6292718,THY50,Levothyroxine Tabs 50mcg     ,1000,GENERIC
8119018,LEV75,Levothyroxine Tabs 75mcg     ,28,GENERIC
8384919,LIOT20,Liothyronine Sodium Tabs 20mcg,28,GENERIC
8465783,WSPL25,Liquid Paraffin/ Soft White (Licensed)                    ,250g,GENERIC
8074379,WSPL50,Liquid Paraffin/ Soft White (NO PL),500g,GENERIC
1140409,LIS112,Lisinopril Tabs 10/12.5mg HCTZ,28,GENERIC
1110766,LIS10,Lisinopril Tabs 10mg,28,GENERIC
8126815,LIS10S,Lisinopril Tabs 10mg,28,GENERIC
1110741,LIS25,Lisinopril Tabs 2.5mg,28,GENERIC
1140417,LIS212,Lisinopril Tabs 20/12.5mg HCTZ,28,GENERIC
1110774,LIS20,Lisinopril Tabs 20mg,28,GENERIC
8464323,LIS20S,Lisinopril Tabs 20mg,28,GENERIC
1110758,LIS5,Lisinopril Tabs 5mg,28,GENERIC
1149061,LOF56,Lofepramine Tabs 70mg,56,GENERIC
1108893,LOP2,Loperamide Caps 2mg,30,GENERIC
6358881,LOPT2,Loperamide Tabs 2mg      ,30,GENERIC
8431553,LORSYP,Loratadine Syrup 5mg/5ml,100ml,GENERIC
7122765,LOR30,Loratidine Tabs 10mg,30,GENERIC
8012932,LOR5,Lorazepam Tabs 0.5mg   ,28,GENERIC
1134683,LOR1,Lorazepam Tabs 1mg   ,28,GENERIC
1134691,LOR2,Lorazepam Tabs 2.5mg  ,28,GENERIC
6834089,LOR2W,Lorazepam Tabs 2.5mg  (Genus),28,GENERIC
8123358,LORM53,Lormetazepam Tabs 0.5mg,30,GENERIC
8123366,LORM13,Lormetazepam Tabs 1mg,30,GENERIC
8458325,LOS1HC,Losartan Tabs 100/25mg HCTZ                    ,28,GENERIC
1207588,LOS100,Losartan Tabs 100mg                                  ,28,GENERIC
8436255,LOS12,Losartan Tabs 12.5mg                                  ,28,GENERIC
1207562,LOS25,Losartan Tabs 25mg                                   ,28,GENERIC
8458317,LOS5HC,Losartan Tabs 50/12.5mg HCTZ                   ,28,GENERIC
1207570,LOS50,Losartan Tabs 50mg                                   ,28,GENERIC
1199520,LYM356,Lymecycline Caps 408mg                                                ,56,GENERIC
1199512,LYM328,Lymecycline Caps 408mg                                                 ,28,GENERIC
8381709,MAC20,Macrogol Oral Sachets SF,20,GENERIC
8381717,MAC30,Macrogol Oral Sachets SF,30,GENERIC
8105512,MEB200,Mebeverine MR Cap 200mg,60,GENERIC
8113110,MEB13A,Mebeverine Tabs 135mg,100,GENERIC
1152123,MEB135,Mebeverine Tabs 135mg,100,GENERIC
8411159,MEF251,Mefenamic Acid Caps 250mg,100,GENERIC
1151752,MEF528,Mefenamic Acid Tabs 500mg,28,GENERIC
8023764,MELAT2,Melatonin PR Tab 2mg,30,GENERIC
1134550,MEL15,Meloxicam Tabs 15mg,30,GENERIC
1134543,MEL75,Meloxicam Tabs 7.5mg,30,GENERIC
8130825,MEM128,Memantine Hydrochloride Tabs 10mg                  ,28,GENERIC
8130833,MEM228,Memantine Hydrochloride Tabs 20mg                  ,28,GENERIC
6272181,MEM105,Memantine Oral Solution 10mg SF      ,50ml,GENERIC
1152131,MET105,Metformin Oral Solution 500mg/5ml SF         ,100ml,GENERIC
1152149,MET505,Metformin Oral Solution 500mg/5ml SF         ,150ml,GENERIC
8129942,METS10,Metformin SF Soln 1000mg/5ml,150ml,GENERIC
8129959,METS85,Metformin SF Soln 850mg/5ml,150ml,GENERIC
8442592,MET7SR,Metformin SR Tab 750mg              ,28,GENERIC
8439861,MEN1SR,Metformin Tabs 1000mg SR                                 ,28,GENERIC
6330880,MEN56S,Metformin Tabs 1000mg SR                                 ,56,GENERIC
1109222,MEN528,Metformin Tabs 500mg,28,GENERIC
1108901,MEN584,Metformin Tabs 500mg,84,GENERIC
7028129,MEN500,Metformin Tabs 500mg,500,GENERIC
1203025,MEN5SR,Metformin Tabs 500mg SR                  ,56,GENERIC
1203033,MEN2SR,Metformin Tabs 500mg SR                    ,28,GENERIC
1108919,MEN856,Metformin Tabs 850mg    ,56,GENERIC
8421513,MEN850,Metformin Tabs 850mg    ,300,GENERIC
8092686,MET750,Methocarbamol Tabs 750mg                                 ,100,GENERIC
1218585,MET25,Methotrexate Tabs 2.5mg                          ,24,GENERIC
6274385,MET100,Methotrexate Tabs 2.5mg                           ,100,GENERIC
7112196,MET256,Methyldopa Tabs 250mg,56,GENERIC
7112204,MET500,Methyldopa Tabs 500mg,56,GENERIC
8413692,METINJ,Metoclopramide Inj 10mg/2ml,5,GENERIC
7118649,METS55,Metoclopramide Syrup 5mg/5ml SF,150ml,GENERIC
1117902,MET128,Metoclopramide Tabs 10mg,28,GENERIC
1156108,MET028,Metoprolol Tabs 100mg,28,GENERIC
1132539,MET156,Metoprolol Tabs 100mg,56,GENERIC
1156090,MET528,Metoprolol Tabs 50mg,28,GENERIC
1132547,MET556,Metoprolol Tabs 50mg,56,GENERIC
1079342,MET2,Metronidazole Susp 200mg/5ml,100ml,GENERIC
1117340,MET221,Metronidazole Tabs 200mg,21,GENERIC
1117357,MET421,Metronidazole Tabs 400mg,21,GENERIC
7126410,MIA328,Mianserin Tabs 30mg,28,GENERIC
8383622,MIDOD2,Midodrine Tab 2.5mg,100,GENERIC
8383614,MIDOD5,Midodrine Tab 5mg,100,GENERIC
1137066,MIN10D,Minocycline Caps 100mg MR (Acnamino),56,GENERIC
7119399,MIN128,Minocycline Tabs 100mg,28,GENERIC
7119381,MIN528,Minocycline Tabs 50mg,28,GENERIC
1155662,MIRO15,Mirtazapine Oral Disp 15mg,30,GENERIC
1155670,MIRO30,Mirtazapine Oral Disp 30mg,30,GENERIC
1155688,MIRO45,Mirtazapine Oral Disp 45mg,30,GENERIC
1152982,MIR15,Mirtazapine Tabs 15mg,28,GENERIC
1152990,MIR30,Mirtazapine Tabs 30mg,28,GENERIC
1153006,MIR45,Mirtazapine Tabs 45mg,28,GENERIC
8436867,MOD130,Modafinil Tabs 100mg                                    ,30,GENERIC
8088270,MOD230,Modafinil Tabs 200mg                                    ,30,GENERIC
8439838,MOMC10,Mometasone Cream 100g                                  ,1,GENERIC
8439820,MOMC30,Mometasone Cream 30g                                    ,1,GENERIC
1203967,MOMAQ,Mometasone N/Spray 50mcg Alm,140ds,GENERIC
8437881,MOM100,Mometasone Ointment 100g                     ,1,GENERIC
8437899,MOM30,Mometasone Ointment 30g                       ,1,GENERIC
1217777,MONSAC,Montelukast Granule Sachets 4mg,28,GENERIC
1203926,MON128,Montelukast Tabs 10mg                                                 ,28,GENERIC
8381865,MON12S,Montelukast Tabs 10mg                                                 ,28,GENERIC
8109449,MON428,Montelukast Tabs Paed Chewable 4mg                      ,28,GENERIC
8109472,MON528,Montelukast Tabs Paed Chewable 5mg                      ,28,GENERIC
8121600,MOROS1,Morphine Oral Solution 10mg,100ml,GENERIC
8121618,MOROS3,Morphine Oral Solution 10mg,300ml,GENERIC
8121550,MOROS5,Morphine Oral Solution 10mg,500ml,GENERIC
6332597,MOX400,Moxifloxacin Tab 400mg,5,GENERIC
6804249,MOX20,Moxonidine Tabs 200mg,28,GENERIC
6804231,MOX30,Moxonidine Tabs 300mg,28,GENERIC
6804223,MOX40,Moxonidine Tabs 400mg,28,GENERIC
8092124,MUPOIN,Mupirocin Ointment 2%,15gm,GENERIC
8125957,MYCO25,Mycophenolate Caps 250mg (Myfenax)                           ,100,GENERIC
8125940,MYCO50,Mycophenolate Tabs 500mg (Myfenax)                            ,50,GENERIC
8384711,NAB556,Nabumetone Tabs 500mg,56,GENERIC
8457129,NAF100,Naftidrofuryl Caps 100mg,84,GENERIC
8120750,NAP375,Naproxen EC Tab 375mg,56,GENERIC
1140276,NAP258,Naproxen Tabs 250mg,28,GENERIC
1134733,NAP2EC,Naproxen Tabs 250mg GR,56,GENERIC
1140284,NAP528,Naproxen Tabs 500mg,28,GENERIC
1134741,NAP5EC,Naproxen Tabs 500mg GR,56,GENERIC
6291694,NARA25,Naratriptan Tabs 2.5mg                                   ,6,GENERIC
6293674,NEBIV1,Nebivolol Tabs 10mg                                         ,28,GENERIC
8458713,NEBIV2,Nebivolol Tabs 2.5mg                             ,28,GENERIC
1187020,NEBIV5,Nebivolol Tabs 5mg                           ,28,GENERIC
8095036,NEFO39,Nefopam Tabs 30mg,90,GENERIC
7126444,NIC20,Nicardipine Caps 20mg     ,56,GENERIC
7126451,NIC30,Nicardipine Caps 30mg   ,56,GENERIC
8157372,NIC106,Nicorandil Tabs 10mg                                          ,60,GENERIC
8157364,NIC206,Nicorandil Tabs 20mg                                          ,60,GENERIC
6802839,NIF3XL,Nifedipine Tabs 30mg XL,28,GENERIC
6802821,NIF6XL,Nifedipine Tabs 60mg XL,28,GENERIC
1110055,NIT528,Nitrazepam Tabs 5mg,28,GENERIC
8016768,NIT130,Nitrofurantoin Caps 100mg,30,GENERIC
8016776,NIT530,Nitrofurantoin Caps 50mg,30,GENERIC
1203017,NIT128,Nitrofurantoin Tabs 100mg,28,GENERIC
7017239,NIT100,Nitrofurantoin Tabs 100mg,100,GENERIC
1203009,NIT508,Nitrofurantoin Tabs 50mg,28,GENERIC
8461634,NIZ130,Nizatidine Caps 150mg,30,GENERIC
8461626,NIZ300,Nizatidine Caps 300mg,30,GENERIC
7118508,NOR53,Norethisterone Tabs 5mg,30,GENERIC
5020904,NOR10,Nortriptyline Tab 10mg,100,GENERIC
5020912,NOR251,Nortriptyline Tab 25mg,100,GENERIC
8143638,NOR530,Nortriptyline Tab 50mg,30,GENERIC
1169440,NYS30,Nystatin Oral Suspension                 ,30ml,GENERIC
1094374,OFL200,Ofloxacin Tabs 200mg,10,GENERIC
